X,Y,Z,wX,wY,wZ,AlignmentRate,L,R
-11.518848, -12.711893,  14.944725,  -0.269137,  -0.171912,  -0.947635,   0.875532,   3.000000,   0.500000
-13.490461,   6.232478,   9.604491,  -0.071839,   0.512805,  -0.855494,   0.981766,   3.000000,   0.500000
 -3.901167,  12.806409,  -5.512621,   0.292692,   0.470549,  -0.832415,   0.971741,   3.000000,   0.500000
  9.970286,   5.957736,  12.944743,  -0.039304,   0.337933,  -0.940349,   0.968833,   3.000000,   0.500000
  4.867388,  11.723389,   4.009076,  -0.448364,   0.532964,  -0.717578,   0.885320,   3.000000,   0.500000
-10.420383,  -9.060461, -13.394842,   0.176874,  -0.169203,   0.969580,   0.945191,   3.000000,   0.500000
  8.925764,  14.334103, -12.813724,   0.103296,   0.371503,  -0.922667,   0.988929,   3.000000,   0.500000
  9.257819,  12.683842,  14.100375,  -0.014904,  -0.309930,   0.950642,   0.984904,   3.000000,   0.500000
  7.872756,   0.067103,  13.998392,  -0.124989,  -0.466798,   0.875487,   0.973833,   3.000000,   0.500000
 -0.534926, -13.437409,   8.538430,   0.293965,   0.838049,   0.459628,   0.838586,   3.000000,   0.500000
 12.989233, -14.036679,   7.632460,   0.083485,  -0.239470,   0.967308,   0.984989,   3.000000,   0.500000
 14.931598,   1.474427,  -4.487644,   0.171253,  -0.040960,   0.984375,   0.976965,   3.000000,   0.500000
-14.950471,   1.825249,   2.731834,   0.033348,  -0.215960,   0.975833,   0.973000,   3.000000,   0.500000
 11.726626,  -3.317695,  -8.352361,  -0.256690,   0.267639,   0.928698,   0.959040,   3.000000,   0.500000
 10.905808, -12.490132,   3.535192,  -0.201482,   0.422660,  -0.883608,   0.967926,   3.000000,   0.500000
  8.524702,   8.598362,  -9.823647,   0.005479,  -0.205620,   0.978617,   0.985615,   3.000000,   0.500000
 12.615033,  -0.170499,  11.743643,  -0.069530,  -0.168461,   0.983253,   0.994225,   3.000000,   0.500000
 12.621126,   5.019818,  -2.897720,   0.186309,  -0.204058,   0.961067,   0.990167,   3.000000,   0.500000
  3.075468,  14.100706,  -5.911511,  -0.365009,  -0.494301,   0.788945,   0.976497,   3.000000,   0.500000
  3.998634,  -8.053441,  14.918467,   0.407156,   0.657731,  -0.633730,   0.978755,   3.000000,   0.500000
 -1.620702,  -9.831224,  12.744520,  -0.040924,  -0.979965,  -0.194918,   0.926748,   3.000000,   0.500000
  5.252934,  -0.513883,  -2.314478,  -0.581283,   0.406725,   0.704758,   0.986055,   3.000000,   0.500000
 11.090369,   5.213935,  11.041552,   0.087405,   0.288377,  -0.953519,   0.968128,   3.000000,   0.500000
  4.613660,  13.249961,  10.861870,  -0.470521,   0.053118,   0.880788,   0.895361,   3.000000,   0.500000
  7.401384, -10.713995,   5.443422,   0.292956,   0.391139,  -0.872460,   0.975449,   3.000000,   0.500000
 -7.470729,  -7.616658,   4.167248,   0.763316,  -0.236302,   0.601258,   0.951162,   3.000000,   0.500000
  5.306547,  -5.147628,  -4.601385,  -0.479770,   0.402250,   0.779754,   0.939491,   3.000000,   0.500000
-10.925229, -12.761197,  -3.637774,   0.364161,  -0.212447,   0.906782,   0.995723,   3.000000,   0.500000
  2.391109,  -2.010841,  -6.865199,  -0.591984,  -0.303829,   0.746487,   0.944640,   3.000000,   0.500000
 -9.231400,  12.345861,  -0.200400,   0.347246,   0.011119,   0.937708,   0.974033,   3.000000,   0.500000
  7.507349, -14.468346,  14.679781,   0.238802,   0.359089,  -0.902235,   0.991541,   3.000000,   0.500000
  7.458763,  -4.891924,   1.233192,   0.770244,   0.066752,  -0.634246,   0.945631,   3.000000,   0.500000
 -9.568377,  -7.463091,  -6.969943,   0.042105,  -0.247937,   0.967861,   0.866242,   3.000000,   0.500000
 14.710551,  -0.085412,  -9.233727,  -0.014293,   0.065508,  -0.997750,   0.984216,   3.000000,   0.500000
 -6.667623,   4.211692,   1.887848,  -0.789797,  -0.507047,   0.345143,   0.958773,   3.000000,   0.500000
 13.424658,  -0.650805,  13.766449,   0.066673,   0.176233,  -0.982088,   0.993357,   3.000000,   0.500000
  8.113690,  -7.640276,   0.477101,  -0.834128,   0.116068,   0.539220,   0.806025,   3.000000,   0.500000
  5.426712,  -1.218098,  10.126000,   0.226491,   0.849102,  -0.477208,   0.917039,   3.000000,   0.500000
  7.243167,  -5.070292,   3.801276,   0.725929,   0.372602,  -0.578096,   0.949733,   3.000000,   0.500000
-10.377020,   0.202087,   1.711414,   0.733694,   0.474396,  -0.486458,   0.922346,   3.000000,   0.500000
  7.674222,  12.411863,   7.522818,   0.741157,  -0.553695,   0.379615,   0.865351,   3.000000,   0.500000
 11.558004,  10.934836, -10.795524,  -0.012736,  -0.122324,   0.992409,   0.990847,   3.000000,   0.500000
 -4.885690,  10.028347,  -7.037093,  -0.522705,  -0.446083,   0.726491,   0.965898,   3.000000,   0.500000
 10.026009,  -2.160889,  -8.384037,   0.237744,  -0.087721,  -0.967359,   0.960870,   3.000000,   0.500000
  2.013647,  -8.604483,  -9.298929,   0.197173,   0.275979,  -0.940723,   0.934895,   3.000000,   0.500000
-14.450615,   7.521773, -12.887065,   0.222326,  -0.444368,   0.867818,   0.920476,   3.000000,   0.500000
  6.055700,   5.457491, -13.110060,   0.111747,   0.340483,  -0.933587,   0.980386,   3.000000,   0.500000
-11.815257,  13.045776, -13.679276,   0.076982,  -0.945330,  -0.316898,   0.715212,   3.000000,   0.500000
-11.469837,  11.556559,   4.662155,  -0.451097,   0.329998,  -0.829224,   0.975255,   3.000000,   0.500000
  0.611230,   9.319431,  -8.530632,   0.306799,   0.294002,  -0.905228,   0.986730,   3.000000,   0.500000
  3.423920,  -9.262178,  -8.824058,  -0.004011,  -0.501189,   0.865329,   0.962332,   3.000000,   0.500000
  4.248495,  13.019111,   8.688813,  -0.735126,   0.516082,   0.439601,   0.783684,   3.000000,   0.500000
 14.579160,  -8.854607,   9.733055,   0.050871,   0.319743,  -0.946138,   0.980615,   3.000000,   0.500000
 -7.678758,  10.165162,  13.940928,   0.453256,  -0.826815,   0.333069,   0.908422,   3.000000,   0.500000
-12.564040,  11.757957,  -7.739163,   0.236004,  -0.175757,   0.955726,   0.988610,   3.000000,   0.500000
  5.890987,  14.029574,   5.258759,   0.678026,  -0.455339,   0.577016,   0.827867,   3.000000,   0.500000
 14.528887,  -5.234421,  -2.748428,  -0.971634,   0.017789,   0.235820,   0.835370,   3.000000,   0.500000
  7.190603, -11.821256,   8.845273,  -0.271545,  -0.355123,   0.894511,   0.988562,   3.000000,   0.500000
  1.149319,  12.682818, -14.224276,  -0.182314,  -0.078468,   0.980104,   0.975849,   3.000000,   0.500000
 -5.794935,   2.550140,  -5.130525,  -0.676313,  -0.333902,   0.656590,   0.971682,   3.000000,   0.500000
 -2.731246,   9.347636,   9.056750,  -0.667508,   0.129782,  -0.733205,   0.788120,   3.000000,   0.500000
-11.578610,   7.071163,   3.220110,   0.162900,  -0.295956,   0.941208,   0.963791,   3.000000,   0.500000
 -6.464762,   0.520552,  -4.828378,  -0.750491,  -0.335798,   0.569213,   0.957520,   3.000000,   0.500000
  1.189230,  -2.530445,  -8.936674,   0.659370,   0.465048,  -0.590729,   0.965166,   3.000000,   0.500000
 -2.545895,  -3.260382,  -5.574017,  -0.799297,  -0.323099,   0.506686,   0.915001,   3.000000,   0.500000
  5.067973,  10.309238,   6.841417,  -0.689146,   0.717930,   0.098259,   0.754040,   3.000000,   0.500000
 -9.811115,  10.975062,  12.053261,  -0.474715,   0.847758,  -0.236541,   0.925432,   3.000000,   0.500000
 11.484892,  -5.774775, -11.454212,   0.423924,  -0.342320,  -0.838514,   0.969672,   3.000000,   0.500000
 -5.117052, -13.822688,  -5.900617,   0.134834,  -0.355117,   0.925047,   0.937947,   3.000000,   0.500000
 11.222489, -14.093315,  -1.030570,  -0.281084,   0.436578,  -0.854630,   0.986718,   3.000000,   0.500000
 10.711023,  -7.186054,  -9.862103,   0.411107,  -0.337866,  -0.846662,   0.933239,   3.000000,   0.500000
 13.706984,   2.944028,   2.440393,  -0.102534,   0.148255,  -0.983619,   0.990945,   3.000000,   0.500000
  2.009450, -10.963875,   7.497629,  -0.457142,  -0.842756,   0.284225,   0.784572,   3.000000,   0.500000
 -5.616664,  -5.258820,  -8.990924,   0.744956,   0.648041,  -0.158377,   0.725446,   3.000000,   0.500000
-12.312930,  -9.729218,  -7.064900,  -0.265100,   0.322672,  -0.908628,   0.989990,   3.000000,   0.500000
-12.445275,  -5.880622,   0.296236,   0.940519,  -0.016552,   0.339338,   0.951792,   3.000000,   0.500000
 14.228845, -12.216603,   1.019624,   0.302512,  -0.326106,   0.895624,   0.991547,   3.000000,   0.500000
 10.735693,  -0.149385,   1.631991,   0.104480,   0.027354,  -0.994151,   0.921494,   3.000000,   0.500000
 12.504652,  -6.012977,   8.631134,   0.367824,   0.297637,  -0.880976,   0.978939,   3.000000,   0.500000
  5.601066,  -5.296274,  12.543458,  -0.425640,  -0.733597,   0.529780,   0.967593,   3.000000,   0.500000
  4.411580, -14.087649, -10.621106,   0.358600,   0.444067,  -0.821104,   0.987298,   3.000000,   0.500000
  9.905725,  14.420849,   0.580600,  -0.271255,   0.548306,  -0.791063,   0.989669,   3.000000,   0.500000
  2.833238,  14.212148,  -7.354575,  -0.428028,  -0.416301,   0.802176,   0.987072,   3.000000,   0.500000
  8.254499, -14.147101,  10.702794,  -0.270728,  -0.255243,   0.928201,   0.990911,   3.000000,   0.500000
  5.625441,  -3.410677,  -0.421585,   0.601076,  -0.387103,  -0.699185,   0.972573,   3.000000,   0.500000
 11.910216,   4.634768,   3.493706,  -0.037947,   0.399701,  -0.915860,   0.977803,   3.000000,   0.500000
  4.109773,   0.042515,   2.459119,  -0.536785,   0.418359,   0.732692,   0.984406,   3.000000,   0.500000
 -7.139564,  12.107098,   0.075660,  -0.178065,   0.220784,  -0.958930,   0.885800,   3.000000,   0.500000
  1.549637,  -6.559145,   0.249744,   0.261565,  -0.231590,  -0.936990,   0.959780,   3.000000,   0.500000
 14.275684,   0.583799,  -6.085432,   0.147292,   0.005422,   0.989078,   0.981340,   3.000000,   0.500000
-13.997822, -11.353379,   1.006822,  -0.395179,   0.292004,  -0.870958,   0.986073,   3.000000,   0.500000
  0.729588,  -8.852268, -13.085613,   0.335471,   0.793791,  -0.507301,   0.954075,   3.000000,   0.500000
  6.318553, -14.999511,  13.775422,  -0.348746,  -0.273287,   0.896488,   0.990520,   3.000000,   0.500000
  9.029630,  11.380832,  14.882832,  -0.024166,   0.225643,  -0.973910,   0.984787,   3.000000,   0.500000
 -2.785088,   9.650778, -13.036370,  -0.091086,   0.266726,  -0.959458,   0.920371,   3.000000,   0.500000
 -2.426517,   8.232339,  -0.895704,   0.775841,   0.602050,  -0.188698,   0.969015,   3.000000,   0.500000
 -7.801900, -13.229275,  10.114812,  -0.394314,   0.303695,  -0.867344,   0.973901,   3.000000,   0.500000
 -3.026162,   1.929844, -10.706385,   0.751232,   0.349499,  -0.559912,   0.985930,   3.000000,   0.500000
 -6.070148,   4.181754,  -3.674585,   0.790579,   0.455236,  -0.409567,   0.935107,   3.000000,   0.500000
  5.950873, -13.784615,  -2.821442,   0.258497,  -0.663461,   0.702139,   0.985560,   3.000000,   0.500000
  4.366105, -11.133478,  -4.000280,   0.213417,  -0.575619,   0.789377,   0.956849,   3.000000,   0.500000
  8.905698,  14.143538, -14.775520,  -0.212993,  -0.339846,   0.916045,   0.987625,   3.000000,   0.500000
-11.119909,  13.819337,  -7.702888,  -0.413287,   0.154364,  -0.897422,   0.994341,   3.000000,   0.500000
  2.700383, -13.423565,  -8.586658,  -0.400948,  -0.444279,   0.801159,   0.980182,   3.000000,   0.500000
  4.314215, -12.779511, -12.457954,  -0.428590,  -0.440559,   0.788808,   0.988553,   3.000000,   0.500000
 -0.170879, -14.298219, -10.412457,  -0.502743,  -0.491177,   0.711333,   0.982091,   3.000000,   0.500000
 10.041228, -14.069956,   3.612379,   0.328997,  -0.453478,   0.828323,   0.972844,   3.000000,   0.500000
 -2.363333,  14.396520,  11.143814,  -0.200867,  -0.390120,  -0.898587,   0.759855,   3.000000,   0.500000
 14.769850,   2.642043,   3.198608,  -0.103398,   0.193856,  -0.975566,   0.982976,   3.000000,   0.500000
  2.803086,  -8.187176,  -9.083077,   0.095855,   0.460356,  -0.882544,   0.947038,   3.000000,   0.500000
  7.084723,   4.238327, -10.775747,   0.170961,   0.208471,  -0.962971,   0.970219,   3.000000,   0.500000
 14.068860,   8.731049, -12.910226,  -0.334946,   0.300065,  -0.893181,   0.962944,   3.000000,   0.500000
 14.488070,   6.962659,  -5.375315,   0.330306,  -0.179365,   0.926675,   0.981346,   3.000000,   0.500000
  0.819847,   0.385498,  12.104325,   0.349749,  -0.874191,  -0.336847,   0.939591,   3.000000,   0.500000
 10.556855,  11.133630,   4.533119,  -0.395280,   0.567133,  -0.722575,   0.982036,   3.000000,   0.500000
 -8.393962,  -7.090804,  10.715981,  -0.220042,  -0.755878,   0.616628,   0.895463,   3.000000,   0.500000
  3.235717, -13.590999, -13.671579,  -0.450578,  -0.410644,   0.792686,   0.984672,   3.000000,   0.500000
  8.455662,  14.058021,  -3.318037,  -0.169096,   0.643771,  -0.746301,   0.984811,   3.000000,   0.500000
 -1.322252,   6.744421,   9.436017,   0.835271,  -0.457552,   0.304907,   0.661521,   3.000000,   0.500000
  6.687921,  -5.752125,   1.540565,  -0.706751,  -0.110392,   0.698797,   0.920098,   3.000000,   0.500000
 -8.979171, -14.095236, -11.210013,   0.199552,   0.014188,   0.979784,   0.958277,   3.000000,   0.500000
 12.502758,  11.336290, -11.218849,  -0.040756,   0.155083,  -0.987060,   0.992647,   3.000000,   0.500000
  6.226279,   9.495231,  -6.117140,   0.274103,   0.292571,  -0.916117,   0.972533,   3.000000,   0.500000
-10.142001,  -4.197853, -12.842715,  -0.447119,   0.015877,   0.894334,   0.859734,   3.000000,   0.500000
 -4.552008,  -4.327889,   2.213750,  -0.481747,  -0.570118,  -0.665496,   0.719774,   3.000000,   0.500000
 -6.978609,  -7.244658, -11.033549,  -0.198432,  -0.408419,  -0.890965,   0.844910,   3.000000,   0.500000
 13.353986,   5.100432,   0.566034,  -0.051924,   0.191343,  -0.980149,   0.987775,   3.000000,   0.500000
  6.273779,   2.069006,  -2.120379,   0.498628,  -0.302632,  -0.812271,   0.967171,   3.000000,   0.500000
 14.683921, -14.224775,   2.921104,   0.132709,  -0.453871,   0.881130,   0.993312,   3.000000,   0.500000
 10.520815, -11.404322,  11.083751,  -0.080002,  -0.245464,   0.966099,   0.988715,   3.000000,   0.500000
  1.955831, -12.476277, -11.728937,   0.559722,   0.493338,  -0.665829,   0.978895,   3.000000,   0.500000
  3.800166, -14.256210,  -0.995376,  -0.299394,   0.598342,  -0.743203,   0.967103,   3.000000,   0.500000
 -5.929333,  -7.509456, -10.254894,   0.267695,   0.364657,   0.891832,   0.847787,   3.000000,   0.500000
 -9.884244,  -4.116818,  -4.671593,  -0.887141,  -0.339194,   0.312934,   0.819678,   3.000000,   0.500000
 -9.435922,  12.190303,   7.834988,  -0.543036,   0.332031,  -0.771276,   0.953126,   3.000000,   0.500000
-13.329738,  -9.210180, -11.562732,  -0.222231,   0.296386,  -0.928853,   0.990178,   3.000000,   0.500000
 12.627401,  -8.729576,  -2.928764,  -0.742759,   0.383018,  -0.549187,   0.753294,   3.000000,   0.500000
  4.633614,  13.556923,  -8.901202,  -0.323528,  -0.382112,   0.865632,   0.990376,   3.000000,   0.500000
  7.885244, -12.047259,  -2.409999,  -0.301351,   0.617131,  -0.726868,   0.974170,   3.000000,   0.500000
-10.352782,   5.770743,  14.551352,   0.324060,  -0.944492,   0.054045,   0.958243,   3.000000,   0.500000
  9.147512,  -9.563277, -14.981351,  -0.288776,  -0.436813,   0.851941,   0.970301,   3.000000,   0.500000
  1.035709,   2.222546, -10.862761,   0.650415,   0.535451,  -0.538750,   0.981448,   3.000000,   0.500000
 -0.994305,  11.619874, -11.345887,   0.079584,   0.257600,  -0.962969,   0.970040,   3.000000,   0.500000
 -0.105849,  10.781379,   8.547668,   0.058053,   0.221573,   0.973414,   0.858849,   3.000000,   0.500000
-10.443462,  -6.466330,   8.124699,  -0.295471,  -0.736668,   0.608291,   0.982625,   3.000000,   0.500000
 -5.171081, -13.864140, -11.293763,  -0.146911,   0.401684,  -0.903918,   0.897633,   3.000000,   0.500000
